Date Submitted,Title,Submitted By,Link
"August 15, 2025",Outcome Based Funding for Web3 Popups,thedevanshmehta,https://gov.gitcoin.co/t/outcome-based-funding-for-web3-popups-gg24-sensemaking-report/23054
"August 15, 2025",Metafunding: Fund PGF Mechanisms & Research,daviddao,https://gov.gitcoin.co/t/metafunding-fund-pgf-mechanisms-research-gitcoin-3-0-sensemaking-report/23024
"August 15, 2025",AI Builders Domain,thedevanshmehta,https://gov.gitcoin.co/t/ai-builders-domain-gg24-sensemaking-report/23049
"August 15, 2025",Mechanism Builders Domain,thedevanshmehta,https://gov.gitcoin.co/t/mechanism-builders-domain-gg24-sensemaking-report/23042
"August 15, 2025",DeFi Transparency and Decentralization Assessment,marcvlad,https://gov.gitcoin.co/t/gg24-sensemaking-report-defi-transparency-and-decentralization-assessment/22966
"August 15, 2025",InfoFi,vaughnmck,https://gov.gitcoin.co/t/infofi-domain-gg24-sensemaking-report/23038
"August 15, 2025",The EPIC Awards: Ethereum People’s Choice Awards,MoeNick,https://gov.gitcoin.co/t/the-epic-awards-ethereum-people-s-choice-awards-powered-by-pairwise/23033
"August 15, 2025",Open Civic Innovation,omniharmonic,https://gov.gitcoin.co/t/open-civic-innovation-gitcoin-3-0-sensemaking-report/23035
"August 15, 2025",Paradox Management for Ethereum Governance,mafer-cordovas,https://gov.gitcoin.co/t/gravitydao-v3-paradox-management-for-ethereum-governance-gitcoin-3-0-sensemaking-report/23032
"August 15, 2025",OSS Domain: Developer Tooling & Core Infrastructure,mathildawrites,https://gov.gitcoin.co/t/gitcoin-oss-domain-developer-tooling-core-infrastructure-gg24-sensemaking-report/23022
"August 15, 2025",Ethereum Mass Adoption: User Experience & Consumer Apps,atenyun,https://gov.gitcoin.co/t/gg24-sensemaking-report-user-experience-consumer-apps/23020
"August 15, 2025","Open Data Standards, Infrastructure & Analytics for Ethereum",rohit,https://gov.gitcoin.co/t/gg24-sensemaking-open-data-standards-infrastructure-analytics-for-ethereum/23000
"August 15, 2025",Developer Tooling & Core Infrastructure,MathildaDV,https://gov.gitcoin.co/t/gitcoin-oss-domain-developer-tooling-core-infrastructure-gg24-sensemaking-report/23022
"August 15, 2025",Metafunding: Fund PGF Mechanisms & Research,DavidDAO,https://gov.gitcoin.co/t/metafunding-fund-pgf-mechanisms-research-gitcoin-3-0-sensemaking-report/23024
"August 15, 2025",Breaking into Enterprise,cryptotwilight,https://gov.gitcoin.co/t/gg24-sense-making-report-breaking-into-enterprise/23026
"August 13, 2025",Privacy-Preserving KYC,M0nkeyFl0wer,https://gov.gitcoin.co/t/gg24-sensemaking-report-privacy-preserving-legally-compliant-kyc-for-grants-and-web3/22923
"July 16, 2025",Ethereum Localism x Regen Coordination,MontyMerlin,https://gov.gitcoin.co/t/ethereum-localism-x-regen-coordination-gitcoin-3-0-sensemaking-report/21940
"July 9, 2025",Pre-&-Post-Grant Coordination,sepu85,https://gov.gitcoin.co/t/gg24-sensemaking-report-at-pre-post-grant-coordination-from-allocation-to-alignment-accountability/21711
"July 8, 2025",Builder Development as Ethereum’s Most Meaningful Problem,KarlaGod,https://gov.gitcoin.co/t/gitcoin-sensemaking-report-builder-development-as-ethereum-s-most-meaningful-problem/21677
"June 25, 2025",Web3 Startup Acceleration,Hydrapad,https://gov.gitcoin.co/t/sensemaking-report-for-gg24-beyond-concentrating-on-fragmented-fundraising-issues/21250
"June 20, 2025",Ethereum For The World,LuukDAO,https://gov.gitcoin.co/t/ethereum-for-the-world-dda-report-draft/21123
"August 15, 2025",Infofi,vaughnmck,https://gov.gitcoin.co/t/infofi-domain-gg24-sensemaking-report/23038
"August 1, 2025",The case for privacy: GG24 MACI <> Allo Capital,john_guilding,https://gov.gitcoin.co/t/the-case-for-privacy-gg24-maci-allo-capital/22491
"August 14, 2025",DeSci,swiftevo,https://gov.gitcoin.co/t/desci-gitcoin-3-0-sensemaking-report/22994